date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:19	1159/1159	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%22999-65383186-d39e84720b0c6fe9;gz%22	https://studysmartplus.online/robots.txt		(from )
20:42:19	52706/52706	---M-Z	200	added ('OK')	text/html	etag:%22cde2-66cff4ad-48997b3bf204d490;gz%22	https://studysmartplus.online/	studysmartplus.online/index.html	(from )
20:42:20	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65383186-d39e84720b0c6fe9;gz%22	https://studysmartplus.online/site.webmanifest	studysmartplus.online/site.webmanifest	(from https://studysmartplus.online/)
20:42:21	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-66cff489-b9215bb9373f9664;gz%22	https://studysmartplus.online/assets/img/favicon.ico	studysmartplus.online/assets/img/favicon.ico	(from https://studysmartplus.online/)
20:42:22	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-66cff48c-516f2ad08420c630;gz%22	https://studysmartplus.online/assets/css/bootstrap.min.css	studysmartplus.online/assets/css/bootstrap.min.css	(from https://studysmartplus.online/)
20:42:23	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-66cff48d-cd5eb6b6330e0ca2;gz%22	https://studysmartplus.online/assets/css/owl.carousel.min.css	studysmartplus.online/assets/css/owl.carousel.min.css	(from https://studysmartplus.online/)
20:42:24	5732/5732	---M-Z	200	added ('OK')	text/css	etag:%221664-66cff48d-ce7d9c659e86291a;gz%22	https://studysmartplus.online/assets/css/slicknav.css	studysmartplus.online/assets/css/slicknav.css	(from https://studysmartplus.online/)
20:42:25	1247/1247	---M-Z	200	added ('OK')	text/css	etag:%224df-66cff48d-6d97c05f14090bfc;gz%22	https://studysmartplus.online/assets/css/flaticon.css	studysmartplus.online/assets/css/flaticon.css	(from https://studysmartplus.online/)
20:42:26	57518/57518	---M-Z	200	added ('OK')	text/css	etag:%22e0ae-66cff48d-9389429a1cbb02b7;gz%22	https://studysmartplus.online/assets/css/gijgo.css	studysmartplus.online/assets/css/gijgo.css	(from https://studysmartplus.online/)
20:42:27	56048/56048	---M-Z	200	added ('OK')	text/css	etag:%22daf0-66cff48c-36c5c449943ba572;gz%22	https://studysmartplus.online/assets/css/animate.min.css	studysmartplus.online/assets/css/animate.min.css	(from https://studysmartplus.online/)
